algorithm,n,type,time_ms
string_merge,800,common_prefix,1.5822
std_quick,900,common_prefix,10.8566
std_merge,900,common_prefix,7.452
ternary_quick,900,common_prefix,0.9494
msd,900,common_prefix,4.533
msd_hybrid,900,common_prefix,4.038
string_merge,900,common_prefix,1.7636
std_quick,1000,common_prefix,12.2172
std_merge,1000,common_prefix,8.0746
ternary_quick,1000,common_prefix,1.018
msd,1000,common_prefix,4.8366
msd_hybrid,1000,common_prefix,4.3792
string_merge,1000,common_prefix,1.9334
std_quick,1100,common_prefix,13.4518
std_merge,1100,common_prefix,9.383
ternary_quick,1100,common_prefix,1.1808
msd,1100,common_prefix,5.3406
msd_hybrid,1100,common_prefix,4.8056
string_merge,1100,common_prefix,2.1654
std_quick,1200,common_prefix,14.805
std_merge,1200,common_prefix,10.1024
ternary_quick,1200,common_prefix,1.2336
msd,1200,common_prefix,5.7476
msd_hybrid,1200,common_prefix,5.239
string_merge,1200,common_prefix,2.3434
std_quick,1300,common_prefix,16.0388
std_merge,1300,common_prefix,10.8844
ternary_quick,1300,common_prefix,1.332
msd,1300,common_prefix,6.438
msd_hybrid,1300,common_prefix,5.8172
string_merge,1300,common_prefix,2.7582
std_quick,1400,common_prefix,17.4374
std_merge,1400,common_prefix,11.9026
ternary_quick,1400,common_prefix,1.4332
msd,1400,common_prefix,6.7156
msd_hybrid,1400,common_prefix,6.176
string_merge,1400,common_prefix,2.8556
std_quick,1500,common_prefix,19.7002
std_merge,1500,common_prefix,12.999
ternary_quick,1500,common_prefix,1.5992
msd,1500,common_prefix,7.2896
msd_hybrid,1500,common_prefix,6.703
string_merge,1500,common_prefix,2.9686
std_quick,1600,common_prefix,20.1748
std_merge,1600,common_prefix,13.839
ternary_quick,1600,common_prefix,1.6684
msd,1600,common_prefix,7.6618
msd_hybrid,1600,common_prefix,6.949
string_merge,1600,common_prefix,3.164
std_quick,1700,common_prefix,21.4422
std_merge,1700,common_prefix,14.7914
ternary_quick,1700,common_prefix,1.7642
msd,1700,common_prefix,8.0686
msd_hybrid,1700,common_prefix,7.3304
string_merge,1700,common_prefix,3.368
std_quick,1800,common_prefix,23.4056
std_merge,1800,common_prefix,15.8176
ternary_quick,1800,common_prefix,1.8454
msd,1800,common_prefix,8.5686
msd_hybrid,1800,common_prefix,7.7622
string_merge,1800,common_prefix,3.586
std_quick,1900,common_prefix,25.1178
std_merge,1900,common_prefix,16.79
ternary_quick,1900,common_prefix,1.9838
msd,1900,common_prefix,9.069
msd_hybrid,1900,common_prefix,8.1702
string_merge,1900,common_prefix,3.863
std_quick,2000,common_prefix,26.0824
std_merge,2000,common_prefix,17.7284
ternary_quick,2000,common_prefix,2.1068
msd,2000,common_prefix,9.465
msd_hybrid,2000,common_prefix,8.5976
string_merge,2000,common_prefix,4.0274
std_quick,2100,common_prefix,27.8498
std_merge,2100,common_prefix,18.7718
ternary_quick,2100,common_prefix,2.235
msd,2100,common_prefix,9.9964
msd_hybrid,2100,common_prefix,9.0156
string_merge,2100,common_prefix,4.2148
std_quick,2200,common_prefix,30.0784
std_merge,2200,common_prefix,20.107
ternary_quick,2200,common_prefix,2.477
msd,2200,common_prefix,10.4876
msd_hybrid,2200,common_prefix,9.437
string_merge,2200,common_prefix,4.5422
std_quick,2300,common_prefix,30.4342
std_merge,2300,common_prefix,21.2032
ternary_quick,2300,common_prefix,2.407
msd,2300,common_prefix,11.0432
msd_hybrid,2300,common_prefix,9.9438
string_merge,2300,common_prefix,4.699
std_quick,2400,common_prefix,32.8524
std_merge,2400,common_prefix,21.9984
ternary_quick,2400,common_prefix,2.585
msd,2400,common_prefix,11.4904
msd_hybrid,2400,common_prefix,10.3068
string_merge,2400,common_prefix,4.8732
std_quick,2500,common_prefix,33.62
std_merge,2500,common_prefix,23.0392
ternary_quick,2500,common_prefix,2.6224
msd,2500,common_prefix,12.0226
msd_hybrid,2500,common_prefix,10.9738
string_merge,2500,common_prefix,5.134
std_quick,2600,common_prefix,34.9108
std_merge,2600,common_prefix,24.1572
ternary_quick,2600,common_prefix,2.7644
msd,2600,common_prefix,12.4812
msd_hybrid,2600,common_prefix,11.1756
string_merge,2600,common_prefix,5.369
std_quick,2700,common_prefix,36.9468
std_merge,2700,common_prefix,25.0998
ternary_quick,2700,common_prefix,2.8408
msd,2700,common_prefix,12.8654
msd_hybrid,2700,common_prefix,11.5672
string_merge,2700,common_prefix,5.5282
std_quick,2800,common_prefix,37.2284
std_merge,2800,common_prefix,26.1704
ternary_quick,2800,common_prefix,2.95
msd,2800,common_prefix,13.4366
msd_hybrid,2800,common_prefix,11.9856
string_merge,2800,common_prefix,5.7508
std_quick,2900,common_prefix,39.7334
std_merge,2900,common_prefix,27.695
ternary_quick,2900,common_prefix,3.2142
msd,2900,common_prefix,13.9122
msd_hybrid,2900,common_prefix,12.5912
string_merge,2900,common_prefix,5.938
std_quick,3000,common_prefix,41.2838
std_merge,3000,common_prefix,28.4448
ternary_quick,3000,common_prefix,3.25
msd,3000,common_prefix,14.4562
msd_hybrid,3000,common_prefix,12.874
string_merge,3000,common_prefix,6.3138
